County,Studio,1 BR,2 BR,3 BR,4 BR,Est. Population
Henry County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","217,505"
Houston County Metro,$720 ,$786 ,$896 ,"$1,173 ","$1,490 ","150,340"
Irwin County,$507 ,$510 ,$648 ,$806 ,$975 ,"9,280"
Jackson County,$575 ,$579 ,$763 ,"$1,043 ","$1,154 ","63,850"
Jasper County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","13,730"
Jeff Davis County,$507 ,$510 ,$648 ,$806 ,$887 ,"15,000"
Jefferson County,$488 ,$492 ,$648 ,$833 ,"$1,107 ","15,955"
Jenkins County,$507 ,$510 ,$648 ,$870 ,$975 ,"8,930"
Johnson County,$547 ,$568 ,$648 ,$877 ,$975 ,"9,800"
Jones County Metro,$522 ,$689 ,$787 ,"$1,002 ","$1,101 ","28,540"
Lamar County Metro,$637 ,$652 ,$743 ,$964 ,"$1,145 ","18,280"
Lanier County Metro,$588 ,$591 ,$770 ,"$1,086 ","$1,333 ","10,390"
Laurens County,$526 ,$529 ,$648 ,$888 ,"$1,035 ","47,450"
Lee County Metro,$624 ,$645 ,$761 ,$985 ,"$1,136 ","29,215"
Liberty County Metro,$803 ,$831 ,$947 ,"$1,355 ","$1,640 ","62,120"
Lincoln County Metro,$528 ,$587 ,$674 ,$911 ,$914 ,"7,770"
Long County Metro,$582 ,$586 ,$706 ,"$1,010 ","$1,118 ","17,855"
Lowndes County Metro,$588 ,$591 ,$770 ,"$1,086 ","$1,333 ","113,940"
Lumpkin County,$636 ,$640 ,$844 ,"$1,113 ","$1,405 ","31,565"
McDuffie County Metro,$636 ,$708 ,$815 ,"$1,108 ","$1,411 ","21,490"
McIntosh County Metro,$680 ,$684 ,$830 ,"$1,160 ","$1,272 ","14,060"
Macon County,$516 ,$519 ,$648 ,$806 ,"$1,122 ","13,675"
Madison County Metro,$663 ,$699 ,$815 ,"$1,104 ","$1,281 ","28,600"
Marion County Metro,$644 ,$717 ,$832 ,"$1,118 ","$1,441 ","8,560"
Meriwether County Metro,$605 ,$609 ,$803 ,"$1,086 ","$1,133 ","21,150"
Miller County,$599 ,$613 ,$699 ,$869 ,"$1,052 ","5,885"
Mitchell County,$547 ,$568 ,$648 ,$806 ,$879 ,"22,575"
Monroe County Metro,$493 ,$623 ,$710 ,$887 ,"$1,229 ","26,795"
Montgomery County,$547 ,$568 ,$648 ,$927 ,$975 ,"8,960"
Morgan County Metro,$706 ,$726 ,$872 ,"$1,134 ","$1,510 ","18,015"
Murray County Metro,$519 ,$555 ,$732 ,$937 ,"$1,022 ","39,445"
Muscogee County Metro,$644 ,$717 ,$832 ,"$1,118 ","$1,441 ","198,645"
Newton County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","105,040"
Oconee County Metro,$663 ,$699 ,$815 ,"$1,104 ","$1,281 ","35,970"
Oglethorpe County Metro,$663 ,$699 ,$815 ,"$1,104 ","$1,281 ","14,655"
Paulding County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","152,400"
Peach County Metro,$484 ,$556 ,$733 ,$995 ,"$1,036 ","27,025"
Pickens County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","30,345"
Pierce County,$543 ,$546 ,$648 ,$814 ,"$1,024 ","19,140"
Pike County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","17,920"
Polk County,$542 ,$546 ,$719 ,$928 ,$975 ,"41,445"
Pulaski County Metro,$510 ,$568 ,$648 ,$927 ,"$1,070 ","11,395"
Putnam County,$649 ,$675 ,$769 ,$956 ,"$1,074 ","21,430"
Quitman County,$507 ,$510 ,$648 ,$883 ,$975 ,"2,140"
Rabun County,$520 ,$524 ,$690 ,$858 ,"$1,093 ","16,355"
Randolph County,$488 ,$492 ,$648 ,$806 ,$975 ,"7,205"
Richmond County Metro,$636 ,$708 ,$815 ,"$1,108 ","$1,411 ","201,570"
Rockdale County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","88,480"
Schley County,$488 ,$492 ,$648 ,$927 ,$975 ,"5,170"
Screven County,$488 ,$492 ,$648 ,$913 ,$975 ,"14,035"
Seminole County,$482 ,$561 ,$713 ,$888 ,"$1,044 ","8,550"
Spalding County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","64,190"
Stephens County,$488 ,$492 ,$648 ,$927 ,"$1,083 ","25,625"
Stewart County,$488 ,$492 ,$648 ,$806 ,$975 ,"5,830"
Sumter County,$528 ,$532 ,$701 ,$872 ,"$1,166 ","30,685"
Talbot County,$512 ,$515 ,$655 ,$850 ,$986 ,"6,425"
Taliaferro County,$507 ,$510 ,$648 ,$806 ,"$1,122 ","1,845"
Tattnall County,$547 ,$568 ,$648 ,$927 ,"$1,122 ","25,400"
Taylor County,$428 ,$515 ,$648 ,$842 ,"$1,011 ","8,265"
Telfair County,$428 ,$510 ,$648 ,$806 ,$899 ,"16,340"
Terrell County Metro,$624 ,$645 ,$761 ,$985 ,"$1,136 ","8,980"
Thomas County,$594 ,$597 ,$787 ,$983 ,"$1,236 ","44,910"
Tift County,$507 ,$511 ,$648 ,$806 ,$951 ,"40,530"
Toombs County,$488 ,$492 ,$648 ,$872 ,"$1,122 ","27,160"
Towns County,$583 ,$587 ,$715 ,$925 ,"$1,238 ","11,175"
Treutlen County,$507 ,$510 ,$648 ,$927 ,$943 ,"6,750"
Troup County,$599 ,$602 ,$794 ,"$1,071 ","$1,112 ","69,435"
Turner County,$507 ,$510 ,$648 ,$806 ,"$1,122 ","8,035"
Twiggs County Metro,$522 ,$689 ,$787 ,"$1,002 ","$1,101 ","8,325"
Union County,$507 ,$510 ,$648 ,$909 ,"$1,091 ","22,260"
Upson County,$443 ,$509 ,$671 ,$839 ,"$1,054 ","26,240"
Walker County Metro,$636 ,$694 ,$838 ,"$1,092 ","$1,306 ","68,610"
Walton County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","88,695"
Ware County,$492 ,$495 ,$653 ,$864 ,"$1,043 ","35,690"
Warren County,$488 ,$492 ,$648 ,$847 ,"$1,122 ","5,410"
Washington County,$547 ,$568 ,$648 ,$877 ,$912 ,"20,505"
Wayne County,$488 ,$492 ,$648 ,$856 ,$950 ,"29,835"
Webster County,$507 ,$510 ,$648 ,$806 ,$975 ,"2,625"
Wheeler County,$507 ,$510 ,$648 ,$927 ,$975 ,"7,950"
White County,$581 ,$584 ,$716 ,$944 ,$971 ,"28,510"
Whitfield County Metro,$531 ,$607 ,$753 ,"$1,032 ","$1,037 ","103,965"
Wilcox County,$507 ,$510 ,$648 ,$865 ,$975 ,"8,895"
Wilkes County,$508 ,$511 ,$674 ,$888 ,"$1,014 ","9,905"
Wilkinson County,$490 ,$493 ,$650 ,$808 ,$943 ,"9,145"
Worth County Metro,$624 ,$645 ,$761 ,$985 ,"$1,136 ","20,810"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
